Category,Function,Gene abbreviation,Gene name,Hmm file,Corresponding KO,Reaction,Substrate,Product
Carbon fixation,CBB cycle - Rubisco,Form I,Form I RuBisCO large subunit,rubisco_form_I.hmm,K01601,"2 3-phospho-D-glycerate + 2 H+ = D-ribulose 1,5-bisphosphate + CO2 + H2O [RN:R00024]",3-phospho-D-glycerate; H+,"D-ribulose 1,5-bisphosphate; CO2; H2O"
Carbon fixation,CBB cycle - Rubisco,Form II,Form II RuBisCO large subunit,rubisco_form_II.hmm,K01601,"2 3-phospho-D-glycerate + 2 H+ = D-ribulose 1,5-bisphosphate + CO2 + H2O [RN:R00024]",3-phospho-D-glycerate; H+,"D-ribulose 1,5-bisphosphate; CO2; H2O"
Carbon fixation,3 Hydroxypropionate cycle,prpE,propionyl-CoA synthetase,K01908.hmm,K01908,"2 3-phospho-D-glycerate + 2 H+ = D-ribulose 1,5-bisphosphate + CO2 + H2O [RN:R00024]",3-phospho-D-glycerate; H+,"D-ribulose 1,5-bisphosphate; CO2; H2O"
Carbon fixation,3 Hydroxypropionate cycle,mcr,malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+),K14468.hmm,K14468,3-hydroxypropanoate + NADP+ = malonate semialdehyde + NADPH + H+ [RN:R09289],3-hydroxypropanoate; NADP+,malonate semialdehyde; NADPH; H+
Carbon fixation,3 Hydroxypropionate cycle,K15017,malonyl-CoA/succinyl-CoA reductase (NADPH),K15017.hmm,K15017,succinate semialdehyde + CoA + NADP+ = succinyl-CoA + NADPH + H+ [RN:R09280],succinate semialdehyde; CoA; NADP+,succinyl-CoA; NADPH; H+
Carbon fixation,3HP/4HB,K14466,4-hydroxybutyrate---CoA ligase (ADP-forming),K14466.hmm,K14466,ATP + 4-hydroxybutanoate + CoA = AMP + diphosphate + 4-hydroxybutanoyl-CoA [RN:R09279],ATP; 4-hydroxybutanoate; CoA,AMP; diphosphate; 4-hydroxybutanoyl-CoA
Carbon fixation,3HP/4HB,4hbl,4-hydroxybutyrate---CoA ligase (ADP-forming),K14467.hmm,K14467,ATP + 4-hydroxybutanoate + CoA = AMP + diphosphate + 4-hydroxybutanoyl-CoA [RN:R09279],ATP; 4-hydroxybutanoate; CoA,AMP; diphosphate; 4-hydroxybutanoyl-CoA
Carbon fixation,3HP/4HB,K18861,4-hydroxybutyrate---CoA ligase (ADP-forming),K18861.hmm,K18861,ATP + 4-hydroxybutanoate + CoA = AMP + diphosphate + 4-hydroxybutanoyl-CoA [RN:R09279],ATP; 4-hydroxybutanoate; CoA,AMP; diphosphate; 4-hydroxybutanoyl-CoA
Carbon fixation,3HP/4HB,E6.2.1.56,4-hydroxybutyrate---CoA ligase (ADP-forming),K18593.hmm,K18593,ATP + 4-hydroxybutanoate + CoA = ADP + phosphate + 4-hydroxybutanoyl-CoA [RN:R10758],ATP; 4-hydroxybutanoate; CoA,ADP; phosphate; 4-hydroxybutanoyl-CoA
Carbon fixation,3HP/4HB,abfD,4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase,K14534.hmm,K14534,4-hydroxybutanoyl-CoA = (E)-but-2-enoyl-CoA + H2O [RN:R10782],4-hydroxybutanoyl-CoA,(E)-but-2-enoyl-CoA; H2O
Carbon fixation,Wood Ljungdahl pathway,cdhD,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta",K00194.hmm,K00194,a [methyl-Co(III) corrinoid Fe-S protein] + tetrahydrosarcinapterin = a [Co(I) corrinoid Fe-S protein] + 5-methyltetrahydrosarcinapterin [RN:R10385],[methyl-Co(III) corrinoid Fe-S protein]; tetrahydrosarcinapterin,[Co(I) corrinoid Fe-S protein]; 5-methyltetrahydrosarcinapterin
Carbon fixation,Wood Ljungdahl pathway,cdhE,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma",K00197.hmm,K00197,a [methyl-Co(III) corrinoid Fe-S protein] + tetrahydrosarcinapterin = a [Co(I) corrinoid Fe-S protein] + 5-methyltetrahydrosarcinapterin [RN:R10385],[methyl-Co(III) corrinoid Fe-S protein]; tetrahydrosarcinapterin,[Co(I) corrinoid Fe-S protein]; 5-methyltetrahydrosarcinapterin
Carbon fixation,Wood Ljungdahl pathway,cooS,anaerobic carbon-monoxide dehydrogenase catalytic subunit,K00198.hmm,K00198,a [methyl-Co(III) corrinoid Fe-S protein] + tetrahydrosarcinapterin = a [Co(I) corrinoid Fe-S protein] + 5-methyltetrahydrosarcinapterin [RN:R10385],[methyl-Co(III) corrinoid Fe-S protein]; tetrahydrosarcinapterin,[Co(I) corrinoid Fe-S protein]; 5-methyltetrahydrosarcinapterin
Carbon fixation,Reverse TCA cycle,aclA,ATP-citrate lyase alpha-subunit,acetate_citrate_lyase_aclA.hmm,K15230,ADP + phosphate + acetyl-CoA + oxaloacetate = ATP + citrate + CoA [RN:R00352],ADP; phosphate; acetyl-CoA; oxaloacetate,ATP; citrate; CoA
Carbon fixation,Reverse TCA cycle,aclB,ATP-citrate lyase beta-subunit,acetate_citrate_lyase_aclB.hmm,K15231,ADP + phosphate + acetyl-CoA + oxaloacetate = ATP + citrate + CoA [RN:R00352],ADP; phosphate; acetyl-CoA; oxaloacetate,ATP; citrate; CoA
